Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected,GT_X,GT_Y,GT_Z,Perception_Error_M
1,0.0,0.2457,-5.0760,True,False,False,0.6817,4.7287,0.7818,-1.5944,-0.7647,0.8109,0.0823,0.1369,0.0000,0.0000,0.0000,0.0000,0.0200,0.1740,0.5710,0.7980,0.2954,0.4198,0.9488,0.0000,0.0000,0.0000,False,-0.0416,0.0385,-0.0564,0.0302,-0.0047,0.0115,2.6891,grasp,0.2954,0.4198,0.9488,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.2650
2,0.0,0.2044,-0.0832,False,False,False,1.4854,4.7119,1.4933,-1.8238,-1.2496,0.3253,-0.2559,-0.0198,-0.2550,-0.2453,-0.0833,-0.0789,0.1001,-0.1764,0.5844,0.3954,-0.0648,0.6469,0.5549,0.0000,0.0000,0.0000,False,-0.0468,-0.0062,-0.0525,-0.0752,-0.0323,-0.0311,1.5220,grasp,-0.0648,0.6469,0.5549,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.3678
3,0.0,0.1976,-0.0082,False,False,False,1.4829,4.7115,1.4905,-1.8275,-1.2512,0.3239,0.0656,-0.0122,0.0335,-0.0751,-0.0643,-0.0396,0.1409,-0.1712,0.5914,0.3978,-0.0648,0.6469,0.5549,0.0000,0.0000,0.0000,False,0.0609,-0.0124,0.0288,-0.0780,-0.0653,-0.0405,-1.3007,grasp,-0.0648,0.6469,0.5549,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,1.3678
4,0.0,0.1329,0.0493,False,False,False,1.4829,4.7115,1.4905,-1.8275,-1.2512,0.3239,0.0656,-0.0122,0.0335,-0.0751,-0.0643,-0.0396,0.1409,-0.1712,0.5914,0.3978,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,0.0780,-0.0117,0.0623,-0.0562,0.0688,0.0394,-1.4213,grasp,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,1.3678
5,0.0,0.1329,-0.0022,False,False,False,1.4842,4.7113,1.4911,-1.8289,-1.2524,0.3232,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.1387,-0.1712,0.5914,0.3978,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,0.0165,-0.0618,-0.0764,-0.0350,-0.0286,-0.0625,-2.8641,grasp,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,1.3678
6,0.0,0.1306,-0.0048,False,False,False,1.4846,4.7104,1.4884,-1.8300,-1.2535,0.3219,-0.0043,0.0646,-0.0323,-0.0070,-0.0214,0.0302,0.0962,-0.1716,0.5912,0.4007,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,-0.0018,0.0315,-0.0192,-0.0046,-0.0120,0.0141,-2.8692,grasp,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False,0.8020,-0.2600,0.0100,1.3678
7,0.0,0.1303,-0.0084,False,False,False,1.4843,4.7116,1.4879,-1.8305,-1.2546,0.3223,-0.0150,0.0233,-0.0041,-0.0378,-0.0781,0.0035,0.1301,-0.1712,0.5917,0.4006,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,-0.0151,0.0245,-0.0046,-0.0379,-0.0784,0.0039,0.1081,grasp,-0.1253,0.6252,0.5180,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.3678
8,0.0,0.1224,0.0005,False,False,False,1.4843,4.7116,1.4879,-1.8305,-1.2546,0.3223,-0.0150,0.0233,-0.0041,-0.0378,-0.0781,0.0035,0.1301,-0.1712,0.5917,0.4006,-0.1294,0.6305,0.5090,0.0000,0.0000,0.0000,False,0.0262,-0.0289,-0.0789,0.0100,-0.0506,-0.0299,2.4195,grasp,-0.1294,0.6305,0.5090,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.3678
9,0.0,0.1224,-0.0151,False,False,False,1.4847,4.7114,1.4873,-1.8309,-1.2559,0.3218,0.0628,-0.0687,-0.0492,0.0227,0.0265,-0.0581,0.1898,-0.1712,0.5917,0.4006,-0.1294,0.6305,0.5090,0.0000,0.0000,0.0000,False,0.0625,-0.0682,-0.0493,0.0220,0.0250,-0.0581,3.0082,grasp,-0.1294,0.6305,0.5090,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.3678
10,0.0,0.1253,-0.0301,False,False,False,1.4859,4.7112,1.4867,-1.8327,-1.2576,0.3228,-0.0012,0.0831,0.0234,-0.1412,-0.1446,0.1388,0.2697,-0.1730,0.5934,0.3976,-0.1294,0.6305,0.5090,0.0000,0.0000,0.0000,False,0.0006,0.0416,0.0114,-0.0739,-0.0756,0.0720,1.4852,grasp,-0.1294,0.6305,0.5090,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True,0.8020,-0.2600,0.0100,1.3678
