Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
1,0.0,0.0439,15.6582,True,False,False,-0.4512,4.7553,-0.2262,-1.2849,-0.1041,1.4752,0.0103,-0.0425,-0.0624,-0.0519,0.0046,-0.0125,0.0397,0.8081,-0.2798,0.0488,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,False,0.0103,-0.0425,-0.0624,-0.0519,0.0046,-0.0125,0.8025,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
2,0.0,0.0574,-0.0306,False,False,False,2.9842,3.0173,0.7650,-2.2543,1.5973,1.4618,0.0026,-0.0276,-0.1502,-0.1114,0.1327,-0.1742,0.0993,0.7946,-0.2560,0.0668,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,0.0023,-0.0087,-0.0433,-0.0327,0.0392,-0.0507,0.5269,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
3,0.0,0.0490,-0.0207,False,False,False,2.9842,3.0173,0.7650,-2.2543,1.5973,1.4618,0.0026,-0.0276,-0.1502,-0.1114,0.1327,-0.1742,0.0993,0.7938,-0.2533,0.0579,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,0.0243,-0.0261,0.0178,0.0587,0.0790,0.0547,-1.7853,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
4,0.0,0.0449,14.9906,True,False,False,2.9836,3.0165,0.7638,-2.2550,1.5985,1.4591,-0.0753,-0.0239,0.0649,0.0649,-0.0309,-0.0609,0.1592,0.7932,-0.2534,0.0535,0.8020,-0.2600,0.0100,0.8020,-0.2600,0.2300,True,-0.0753,-0.0265,0.0631,0.0636,-0.0293,-0.0630,0.2235,grasp,0.8020,-0.2600,0.0100,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
5,0.0,0.0400,-0.0043,False,False,False,-0.4738,5.6605,0.8369,-1.7593,4.7249,1.0796,-0.0003,0.0129,0.0151,-0.0068,0.0688,-0.0056,0.0000,0.7929,-0.2531,0.0482,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0507,0.0309,0.0250,0.0056,-0.0497,-0.0230,-2.8683,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
6,0.0,0.0392,-0.0124,False,False,False,-0.4738,5.6600,0.8368,-1.7589,4.7242,1.0803,0.0018,-0.0587,-0.0041,0.0405,-0.0755,0.0678,0.0175,0.7928,-0.2531,0.0474,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0018,-0.0587,-0.0041,0.0405,-0.0755,0.0678,-2.5360,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
7,0.0,0.0813,-0.0506,False,False,False,-0.4727,5.6015,0.8331,-1.7190,4.6497,1.1476,-0.0797,-0.0297,0.0375,-0.0175,0.0313,0.0208,0.1171,0.8002,-0.2661,0.0910,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0797,-0.0297,0.0375,-0.0175,0.0313,0.0208,1.7947,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
8,0.0,0.0634,0.0149,False,False,False,-0.5516,5.5721,0.8702,-1.7363,4.6807,1.1681,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.6186,0.8131,-0.2328,0.0661,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0620,-0.0793,0.0545,0.0706,0.0145,0.0103,1.0134,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
9,0.0,0.0596,-0.0120,False,False,False,-0.5523,5.5714,0.8708,-1.7356,4.6808,1.1682,-0.0620,-0.0793,0.0545,0.0706,0.0145,0.0103,0.6096,0.8126,-0.2348,0.0628,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0177,-0.0635,-0.0376,-0.0052,-0.0225,0.0419,0.7706,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
10,0.0,0.0596,-0.0135,False,False,False,-0.5528,5.5721,0.8708,-1.7363,4.6815,1.1686,-0.0504,0.0696,0.0031,-0.0760,0.0658,0.0344,0.5658,0.8126,-0.2348,0.0628,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0504,0.0696,0.0031,-0.0760,0.0658,0.0344,0.2076,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
11,0.0,0.0596,-0.0127,False,False,False,-0.5540,5.5730,0.8705,-1.7383,4.6826,1.1685,-0.0232,-0.0758,-0.0313,-0.0516,-0.0184,-0.0661,0.5188,0.8126,-0.2348,0.0628,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0248,-0.0716,-0.0312,-0.0531,-0.0172,-0.0655,-0.1748,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
12,0.0,1.4803,-1.4464,False,False,False,-0.5795,5.5015,0.8404,-1.7905,4.6624,1.1043,-0.1375,0.0401,0.0460,-0.0880,-0.1321,0.0609,0.3182,-0.0752,0.4372,0.9772,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0722,0.0210,0.0242,-0.0464,-0.0695,0.0320,-2.8885,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
13,0.0,1.4852,-0.0312,False,False,False,-0.5795,5.5015,0.8404,-1.7905,4.6624,1.1043,-0.1375,0.0401,0.0460,-0.0880,-0.1321,0.0609,0.3182,-0.0883,0.4188,0.9858,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0424,-0.0624,0.0489,-0.0568,-0.0646,0.0603,0.2180,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
14,0.0,1.4836,-0.0081,False,False,False,-0.5818,5.5015,0.8412,-1.7916,4.6612,1.1049,-0.0037,-0.0739,0.0145,0.0176,0.0696,-0.0348,0.3380,-0.0853,0.4158,0.9882,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0094,-0.0724,0.0151,0.0164,0.0677,-0.0339,1.9249,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
